t	c_test	sig1	sig2	sig3	alpha	L1	L00	L_R	MSE1	MSE00	MSE_R	sig1R	sig2R	sig3R	alphaR	lhspR	id
1	3	0.0933382132451824	0.111853958587831	0.13	0.115750618282118	101.122509925569	114.574474390011	107.217843858911	0.454699476904365	2.30780062319883e-05	0.248677189957405	0.0930565013116355	0.112717082151239	0.13	0.102293682637298	0.112894077157993	mm_exp1
2	2	0.092021932765378	0.13	0.143310781154648	0.114059849610551	132.702809072105	105.907474275227	127.505492368474	0.0200073397575955	0.925689655892058	0.195676644340312	0.0913949347733196	0.13	0.136080826603628	0.101310628385353	0.108706322306618	mm_exp1
3	1	0.13	0.106846530023663	0.138903412635297	0.111475617937696	123.842653622192	63.9553150061284	108.524160790331	0.634891893190764	2.65908393841372	1.15265695090768	0.13	0.108062003845261	0.132907735866993	0.100644169866999	0.107048576200247	mm_exp1
4	5	0.0925571546578006	0.110668296698478	0.144493083308248	0.114748022600314	165.25573360626	132.108613022665	160.537879314044	0.0345784780218365	1.15495115374737	0.194041953098757	0.0945269081861435	0.11215270665269	0.137460964357602	0.13	0.111376217516662	mm_exp1
5	4	0.0900915493400768	0.106972516604617	0.139089913666688	0.13	120.700572744758	68.9858728094242	101.611105402028	0.330923516944416	2.0788803747587	0.976147513128696	0.0895760938456917	0.106103909402884	0.130164717282509	0.0996621242554654	0.13	mm_exp1
6	6	0.0916323799413545	0.109276850181629	0.142471550811244	0.113559977997198	0	0	0	0	0	0	0.0921876695137632	0.110281238532689	0.141895856170073	0.100424054079368	0.112490616099047	mm_exp1
1	5	0.129487702349958	0.0815443944059994	0.0988619942300236	0.158616534780617	61.0865703027064	62.1925895788472	61.0834442643568	0.241379193770848	0.203995742237287	0.241484853867063	0.129474118873834	0.0815511531679832	0.0988670105681804	0.13	0.158601116175428	ks_exp1
2	4	0.13035389569449	0.082072626605572	0.0995693103496309	0.13	25.9727879512221	26.4100540376713	26.417741379594	0.0150402734247771	0.000260679702791786	8.47545807099403e-07	0.126497056422895	0.0837874467022861	0.101359175801949	0.0992661364800458	0.13	ks_exp1
3	6	0.132115366197217	0.0831354269745133	0.10099883228215	0.161531827112635	0	0	0	0	0	0	0.132112987903389	0.0831393352703373	0.101001475993192	0.101555319602798	0.16150129792872	ks_exp1
4	1	0.13	0.0838553148412035	0.101968490714865	0.162850536771815	59.2035184457264	58.6486469340162	59.431186875615	0.0188622210579417	0.0376168781537474	0.0111670281277093	0.13	0.0841751476282627	0.104136648887118	0.102845446529411	0.155544314100069	ks_exp1
5	3	0.135272457167419	0.0850372610488614	0.13	0.165011121068022	82.2378490779239	82.2386489649236	82.2378230716498	0.00115358128908669	0.00112654510849557	0.00115446030115108	0.135274139992716	0.0850404527531888	0.13	0.103648135377729	0.164996219765143	ks_exp1
6	2	0.132015381698756	0.13	0.10091709884895	0.161421657160823	75.0550796396668	75.9261276754202	75.0489398105409	0.217641780952436	0.18820035734397	0.217849307176891	0.132007841086585	0.13	0.100912844909975	0.101478496085144	0.16138838353592	ks_exp1
1	2	0.0709782553035054	0.13	0.144405525887796	0.0856626170859518	80.7902856327965	80.8128106010789	80.8453238579325	0.00202140533634536	0.00126006140839978	0.00016111332674718	0.072779740350755	0.13	0.140890213125557	0.163145405479435	0.0879904051851932	ch_exp1
2	3	0.0688957385767327	0.105122528107461	0.13	0.0828383376452976	43.2598182606075	41.9703680021626	42.5094056319238	5.21530327273231e-06	0.0435886340387112	0.0253691621527805	0.0710969385602506	0.107020889135951	0.13	0.148705589995633	0.0853565738649264	ch_exp1
3	1	0.13	0.102995477008968	0.137347714130942	0.081325822040984	69.4518514631418	69.9418603352893	69.4468627300515	0.723178414974021	0.706616115095434	0.723347034152473	0.13	0.102998760119002	0.137329167502829	0.161076085861428	0.0813309339188523	ch_exp1
4	4	0.0693399018227142	0.105969047049311	0.140787717341731	0.13	75.4664312066097	72.905908190458	74.6424014590868	0.228766877434675	0.315312555380601	0.256619082900951	0.0713688653378437	0.109073735857525	0.137137484182797	0.158393853392371	0.13	ch_exp1
5	5	0.0698420127231838	0.106925269675169	0.141890454783318	0.0841111801379543	25.0606035650954	28.5307624071748	26.9913421143921	0.220603899904779	0.103312531042493	0.15534493693855	0.0706801081459703	0.107887199842314	0.136701299835264	0.13	0.0851169331781391	ch_exp1
6	6	0.0693901871434918	0.106067332397513	0.140898484348357	0.0835036336412568	0	0	0	0	0	0	0.0706662595373099	0.107964501363048	0.13734857758989	0.159179779408967	0.0851226939656477	ch_exp1
1	6	0.10995913360394	0.0929026650132351	0.140241637556417	0.125247475923062	0	0	0	0	0	0	0.108972142385526	0.0961697610986115	0.141170050562856	0.121161609696223	0.120252320137348	ej_exp1
2	5	0.109792315127406	0.0927319635962577	0.139865165186404	0.125073167035619	63.2506419159081	49.9161259193221	62.6486650014759	0.00632385276589344	0.457030493450502	0.0266706724737036	0.108423665166081	0.0952406693692982	0.140677414880653	0.13	0.120148268574581	ej_exp1
3	4	0.109017026694593	0.091940745513878	0.138125492630935	0.13	57.0854076374163	45.8239675621575	55.3847128088064	0.0706450758745929	0.451281750418339	0.128128561081607	0.106695181415069	0.0944116081363136	0.137516812400521	0.118686292462289	0.13	ej_exp1
4	1	0.13	0.0921921722635722	0.138679440170362	0.124521883138658	68.036882580607	57.3548791032839	66.6908681343953	0.0712844554752369	0.432336173008759	0.116779743757193	0.13	0.0955013486670434	0.139725685958457	0.120012635416823	0.119212769332607	ej_exp1
5	3	0.111722224398004	0.0947127716951662	0.13	0.127093400211236	55.6200074831871	53.9376132334119	55.6209598514807	0.318086487391893	0.374951413034292	0.318054297343569	0.111726245754215	0.0947172925149973	0.13	0.125288604036897	0.127090709919357	ej_exp1
6	2	0.10991041384492	0.13	0.140131868291764	0.125196878675716	81.7539671118542	-524.539031335015	80.9192884918683	0.0432311091363786	20.5359344566406	0.0714432464918987	0.109470624543217	0.13	0.142122151659101	0.121556982700857	0.120785138518316	ej_exp1
1	3	0.0935560390556341	0.0990716117112705	0.13	0.0783558842746776	52.7812119291633	-50.2074111253228	46.3491027594541	0.0148597442486132	3.49587520349024	0.232265034184782	0.0919509154340028	0.0974859721502422	0.13	0.096353064771025	0.0800552178130239	aa_exp1
2	1	0.13	0.098269521382115	0.136764614799078	0.0777917115812235	64.482937441331	58.5417343013542	58.2579519117197	0.239540066339046	0.440352732470261	0.449944577239908	0.13	0.100176549036388	0.128670590331322	0.0992967350746787	0.0798604080982303	aa_exp1
3	2	0.0952029208409921	0.13	0.140315667787215	0.0796675348954291	76.1040953013224	73.4541047090912	73.4144644562746	0.0367599172315504	0.126329599248966	0.127669439794168	0.0965240796328624	0.13	0.13233911909983	0.102000415469246	0.0818321629696365	aa_exp1
4	4	0.0909889576674816	0.096175840043666	0.133979315699298	0.13	62.8498095059793	64.0012872570842	62.8400659603456	0.735807269271228	0.696887321283883	0.736136601113647	0.0909909453819035	0.0961790373811107	0.133969755102185	0.0961654185579841	0.13	aa_exp1
5	6	0.0933397516131654	0.0988278960309102	0.137512189715832	0.0781836335656934	0	0	0	0	0	0	0.0943591569386845	0.100540292699396	0.128628384127867	0.0996100035639342	0.0802056365919385	aa_exp1
6	5	0.0939757754646703	0.0995461922158388	0.138468955077943	0.078690178182005	74.8997239503992	70.150458464241	70.8535790041172	0.108951003586919	0.269476177019068	0.245710702771251	0.0951003476800932	0.101321065463421	0.131017926937781	0.13	0.080553676037201	aa_exp1
1	6	0.0800820777486801	0.0828066504441301	0.126176405808883	0.075690224977595	0	0	0	0	0	0	0.0812774595904081	0.0841863004384159	0.123791171302538	0.100722563425912	0.0764277756967856	cf_exp1
2	5	0.0743201847583221	0.0766877034637991	0.116996898116617	0.0706263348760261	33.3978122927563	-88.6934912964462	-23.9388198990528	1.03679076904257	5.16347683035761	2.97476893712571	0.0751189603918202	0.0777614460602076	0.106917174582263	0.13	0.0706297132035766	cf_exp1
3	4	0.077715354655885	0.0803009519218464	0.122411340806983	0.13	54.6707807044825	72.7488866266475	45.357280489146	1.09797528999695	0.486935309827771	1.41277159727532	0.0791112714095315	0.0818695658774996	0.120254450114995	0.0981808059829785	0.13	cf_exp1
4	1	0.13	0.0845006398577405	0.128783893801033	0.0770984104935044	80.0825490425001	-45.4181573286713	62.2996279587976	0.387544611543314	4.62946848688891	0.988607344172457	0.13	0.0890082404593439	0.121405537586083	0.0992355108904246	0.0799751994703557	cf_exp1
5	3	0.0828266771334074	0.0857265182620701	0.13	0.0781067732955678	72.009990137548	37.7589587796611	73.8556632436853	0.0760386400057584	1.23372349990234	0.0136548890183191	0.0836716011121258	0.0869442544694968	0.13	0.103402675976924	0.0787347808795666	cf_exp1
6	2	0.0832881541460146	0.13	0.131376867950628	0.0785098826651888	88.8994946589108	53.7811228703268	75.869925322594	0.182107837488357	1.36910880394249	0.622507281055865	0.0873634533170457	0.13	0.123706042990882	0.1010815622647	0.0820802038664085	cf_exp1
1	1	0.13	0.269046741322468	0.299882174440804	0.251314318003908	-78.1975801953562	-171979.296367115	-89.2257675772439	0.159797640038891	5810.41693663794	0.532550373546693	0.13	0.273221198017553	0.304086358129252	0.268644546102511	0.239605119789763	pa_exp1
2	2	0.254872954846288	0.13	0.306059505011655	0.253049029759665	-112.347968320985	-147938.007687688	-134.860701382117	1.21936365637623	4997.72666217099	1.98029403384252	0.254673106197187	0.13	0.313077797559975	0.274675786465257	0.244083418615798	pa_exp1
3	3	0.257121047639968	0.277094569884796	0.13	0.254306774873944	-183.468220647839	-68491.8168411714	-215.782113010533	3.2979902965307	2312.12017367023	4.39019985838974	0.257984780613372	0.283535245235674	0.13	0.278580407399342	0.246367822793877	pa_exp1
4	4	0.248513817720474	0.264148933073883	0.2933996238418	0.13	-82.3703745812962	-120943.550331296	-82.601126379266	0.032059185485679	4085.13994172243	0.0398585962570558	0.245188068784504	0.267669871719602	0.298151654192863	0.263340529130644	0.13	pa_exp1
5	6	0.252875984912909	0.270681745654957	0.302053937298341	0.25192705232379	0	0	0	0	0	0	0.251525440012889	0.275240374110498	0.308463273484439	0.273295395230776	0.243359515632034	pa_exp1
6	5	0.251797472916786	0.269061129974238	0.299902009525902	0.251319249850384	-117.181496042412	-71336.2747767482	-124.741611520423	0.262241624717956	2407.46759451257	0.517773527874713	0.249822753657375	0.272533711381474	0.304923454877797	0.13	0.242040957740084	pa_exp1
1	6	0.073751905407852	0.0716336386814706	0.0914227050750393	0.0894875704587383	0	0	0	0	0	0	0.0737751810104652	0.0716856984271259	0.0914994952531259	0.0841206944757591	0.0893746166489671	jm_exp1
2	5	0.0716503326610379	0.0688793994167902	0.0873717962033194	0.0912845997901657	74.8655476911908	-393.650129564657	74.8611880425888	0.395639600684017	16.2314694919317	0.395786956806765	0.071648221924909	0.068883564296908	0.0873720267394052	0.13	0.0912694538619789	jm_exp1
