ID	IDn	block	trial	side	dE	sdE	sigma	FE	rr	acc	tResp	sess
694	mm	4	1	1	1	0.04	0.04	0.90943743401739	1	0	0	4.02	1
695	mm	4	1	2	1	0.04	0.04	0.299952702068935	1	1	1	2.26	1
696	mm	4	1	3	1	0.53	0.53	0.90943743401739	1	0	0	1.39	1
697	mm	4	1	4	-1	0.04	-0.04	1.51872259663646	1	1	0	1	1
698	mm	4	1	5	1	0.36	0.36	0.90943743401739	1	1	1	1.99	1
699	mm	4	1	6	-1	0.53	-0.53	0.299952702068935	1	0	1	1.64	1
700	mm	4	1	7	-1	0.53	-0.53	1.51872259663646	1	1	0	1.33	1
701	mm	4	1	8	-1	0.53	-0.53	0.90943743401739	1	0	1	0.81	1
702	mm	4	1	9	-1	0.36	-0.36	1.51872259663646	1	0	1	0.92	1
703	mm	4	1	10	-1	0.53	-0.53	0.90943743401739	1	0	1	1.25	1
704	mm	4	1	11	1	0.44	0.44	0.299952702068935	1	1	1	0.7	1
705	mm	4	1	12	1	0.53	0.53	1.51872259663646	1	0	0	1.17	1
706	mm	4	1	13	1	0.69	0.69	1.51872259663646	1	1	1	0.72	1
707	mm	4	1	14	1	0.93	0.93	1.51872259663646	1	0	0	1.15	1
708	mm	4	1	15	1	1.17	1.17	0.90943743401739	1	0	0	1.19	1
709	mm	4	1	16	-1	1.09	-1.09	1.51872259663646	1	0	1	0.9	1
710	mm	4	1	17	-1	1.25	-1.25	1.51872259663646	1	0	1	0.65	1
711	mm	4	1	18	-1	0.36	-0.36	0.90943743401739	1	0	1	0.92	1
712	mm	4	1	19	-1	0.28	-0.28	0.90943743401739	1	1	0	0.7	1
713	mm	4	1	20	-1	0.93	-0.93	0.90943743401739	1	0	1	0.75	1
714	mm	4	1	21	-1	0.85	-0.85	0.90943743401739	1	0	1	0.58	1
715	mm	4	1	22	-1	1.25	-1.25	1.51872259663646	1	0	1	0.73	1
716	mm	4	1	23	1	1.82	1.82	1.51872259663646	1	1	1	0.65	1
717	mm	4	1	25	-1	0.77	-0.77	0.299952702068935	1	0	1	0.96	1
718	mm	4	1	26	1	2.55	2.55	0.90943743401739	1	1	1	0.68	1
719	mm	4	2	1	1	0.53	0.53	0.299952702068935	1	0	0	2.06	1
720	mm	4	2	2	1	2.46	2.46	0.90943743401739	1	1	1	1.03	1
721	mm	4	2	3	1	1.9	1.9	1.51872259663646	1	1	1	0.65	1
722	mm	4	2	4	1	1.41	1.41	0.90943743401739	1	0	0	0.98	1
723	mm	4	2	5	-1	1.41	-1.41	1.51872259663646	1	0	1	0.62	1
724	mm	4	2	6	1	1.9	1.9	1.51872259663646	1	1	1	0.87	1
725	mm	4	2	7	1	1.17	1.17	0.299952702068935	1	1	1	0.76	1
726	mm	4	2	8	1	1.82	1.82	1.51872259663646	1	1	1	0.66	1
727	mm	4	2	9	-1	1.01	-1.01	0.299952702068935	1	0	1	0.57	1
728	mm	4	2	10	1	1.25	1.25	0.299952702068935	1	0	0	1.27	1
729	mm	4	2	11	-1	0.36	-0.36	0.90943743401739	1	0	1	0.7	1
730	mm	4	2	12	-1	1.41	-1.41	1.51872259663646	1	1	0	1.66	1
731	mm	4	2	13	-1	1.82	-1.82	1.51872259663646	1	0	1	0.74	1
732	mm	4	2	14	1	1.09	1.09	0.90943743401739	1	1	1	0.57	1
733	mm	4	2	15	1	2.71	2.71	0.90943743401739	1	1	1	0.43	1
734	mm	4	2	16	-1	1.09	-1.09	0.299952702068935	1	0	1	0.53	1
735	mm	4	2	17	1	1.74	1.74	1.51872259663646	1	1	1	1.03	1
736	mm	4	2	18	-1	1.82	-1.82	1.51872259663646	1	0	1	0.53	1
737	mm	4	2	19	1	2.63	2.63	0.90943743401739	1	1	1	0.47	1
738	mm	4	2	20	1	1.74	1.74	1.51872259663646	1	1	1	0.56	1
739	mm	4	2	21	-1	1.09	-1.09	0.299952702068935	1	0	1	0.44	1
740	mm	4	2	22	1	2.06	2.06	0.299952702068935	1	1	1	0.41	1
741	mm	4	2	23	-1	0.77	-0.77	0.90943743401739	1	0	1	1.28	1
742	mm	4	2	24	-1	1.74	-1.74	1.51872259663646	1	0	1	0.53	1
743	mm	4	2	25	1	1.98	1.98	0.299952702068935	1	1	1	0.4	1
744	mm	4	3	1	1	1.58	1.58	1.51872259663646	1	0	0	0.81	1
745	mm	4	3	2	1	2.14	2.14	1.51872259663646	1	0	0	1.45	1
746	mm	4	3	3	-1	1.66	-1.66	1.51872259663646	1	0	1	0.56	1
747	mm	4	3	4	1	2.55	2.55	1.51872259663646	1	0	0	0.69	1
748	mm	4	3	5	-1	1.66	-1.66	1.51872259663646	1	0	1	0.47	1
749	mm	4	3	6	1	2.46	2.46	0.90943743401739	1	1	1	0.39	1
750	mm	4	3	7	1	2.38	2.38	0.90943743401739	1	1	1	0.5	1
751	mm	4	3	8	1	2.95	2.95	1.51872259663646	1	1	1	0.86	1
752	mm	4	3	9	1	1.9	1.9	0.299952702068935	1	1	1	0.56	1
753	mm	4	3	10	1	1.58	1.58	0.90943743401739	1	1	1	0.46	1
754	mm	4	3	11	-1	0.93	-0.93	0.299952702068935	1	0	1	0.42	1
755	mm	4	3	12	1	2.95	2.95	1.51872259663646	1	1	1	0.69	1
756	mm	4	3	13	1	1.74	1.74	0.299952702068935	1	1	1	0.47	1
757	mm	4	3	14	-1	1.58	-1.58	1.51872259663646	1	0	1	0.48	1
758	mm	4	3	15	1	2.87	2.87	1.51872259663646	1	1	1	0.67	1
759	mm	4	3	16	-1	1.49	-1.49	1.51872259663646	1	0	1	0.48	1
760	mm	4	3	17	-1	0.61	-0.61	0.90943743401739	1	0	1	0.4	1
761	mm	4	3	18	1	2.79	2.79	1.51872259663646	1	0	0	0.66	1
762	mm	4	3	19	-1	0.85	-0.85	0.299952702068935	1	0	1	0.43	1
763	mm	4	3	20	1	1.58	1.58	0.299952702068935	1	1	1	0.44	1
764	mm	4	3	21	1	2.14	2.14	0.90943743401739	1	1	1	0.65	1
765	mm	4	3	22	1	1.9	1.9	0.90943743401739	1	1	1	0.59	1
766	mm	4	3	23	1	0.85	0.85	0.90943743401739	1	1	1	1.36	1
767	mm	4	3	24	-1	1.58	-1.58	1.51872259663646	1	0	1	0.87	1
768	mm	4	3	25	-1	0.61	-0.61	0.90943743401739	1	0	1	0.57	1
769	mm	4	4	1	1	1.82	1.82	0.90943743401739	1	1	1	0.75	1
770	mm	4	4	2	1	3.27	3.27	1.51872259663646	1	1	1	0.6	1
771	mm	4	4	3	-1	1.49	-1.49	1.51872259663646	1	0	1	0.49	1
772	mm	4	4	4	1	0.04	0.04	0.299952702068935	1	0	0	0.81	1
773	mm	4	4	5	-1	0.36	-0.36	0.90943743401739	1	0	1	1.09	1
774	mm	4	4	6	1	1.66	1.66	0.299952702068935	1	1	1	0.47	1
775	mm	4	4	7	1	3.19	3.19	1.51872259663646	1	1	1	0.58	1
776	mm	4	4	8	1	1.41	1.41	0.299952702068935	1	1	1	0.56	1
777	mm	4	4	9	-1	0.36	-0.36	0.299952702068935	1	0	1	0.55	1
778	mm	4	4	10	1	0.85	0.85	0.299952702068935	1	0	0	0.49	1
779	mm	4	4	11	1	1.49	1.49	0.90943743401739	1	1	1	0.65	1
780	mm	4	4	12	1	1.82	1.82	0.299952702068935	1	1	1	0.59	1
781	mm	4	4	13	1	0.28	0.28	0.90943743401739	1	0	0	0.4	1
782	mm	4	4	14	-1	0.2	-0.2	0.299952702068935	1	0	1	0.4	1
783	mm	4	4	15	1	0.93	0.93	0.299952702068935	1	0	0	0.56	1
784	mm	4	4	16	1	1.49	1.49	0.90943743401739	1	1	1	0.43	1
785	mm	4	4	17	1	0.85	0.85	0.299952702068935	1	0	0	0.51	1
786	mm	4	4	18	1	0.85	0.85	0.299952702068935	1	0	0	0.41	1
787	mm	4	4	19	1	0.12	0.12	0.90943743401739	1	0	0	0.47	1
788	mm	4	4	20	1	3.11	3.11	1.51872259663646	1	1	1	0.85	1
789	mm	4	4	21	1	0.85	0.85	0.299952702068935	1	1	1	0.82	1
790	mm	4	4	22	1	1.98	1.98	0.299952702068935	1	1	1	0.67	1
791	mm	4	4	23	-1	1.33	-1.33	1.51872259663646	1	0	1	0.57	1
792	mm	4	4	24	1	1.01	1.01	0.90943743401739	1	1	1	0.52	1
793	mm	4	4	25	1	3.03	3.03	1.51872259663646	1	1	1	0.57	1
794	mm	4	5	1	1	2.95	2.95	1.51872259663646	1	1	1	0.75	1
795	mm	4	5	2	1	1.17	1.17	0.90943743401739	1	0	0	1.02	1
796	mm	4	5	3	1	1.9	1.9	0.299952702068935	1	1	1	1.05	1
797	mm	4	5	4	-1	0.04	-0.04	0.90943743401739	1	0	1	0.59	1
798	mm	4	5	5	1	1.74	1.74	0.90943743401739	1	1	1	0.53	1
799	mm	4	5	6	1	0.12	0.12	0.90943743401739	1	0	0	0.58	1
800	mm	4	5	7	1	0.12	0.12	0.299952702068935	1	0	0	0.49	1
801	mm	4	5	8	-1	1.09	-1.09	1.51872259663646	1	1	0	0.55	1
802	mm	4	5	9	1	1.66	1.66	0.90943743401739	1	1	1	0.49	1
803	mm	4	5	10	1	0.44	0.44	0.299952702068935	1	0	0	0.42	1
804	mm	4	5	11	1	0.44	0.44	0.90943743401739	1	0	0	0.37	1
805	mm	4	5	12	1	0.44	0.44	0.90943743401739	1	0	0	0.45	1
806	mm	4	5	13	1	0.53	0.53	0.90943743401739	1	0	0	0.4	1
807	mm	4	5	14	1	0.53	0.53	0.90943743401739	1	0	0	0.48	1
808	mm	4	5	15	1	0.69	0.69	0.299952702068935	1	1	1	0.65	1
809	mm	4	5	16	1	1.82	1.82	0.299952702068935	1	1	1	0.5	1
810	mm	4	5	17	1	0.04	0.04	0.299952702068935	1	0	0	0.45	1
811	mm	4	5	18	1	1.74	1.74	0.299952702068935	1	1	1	0.51	1
812	mm	4	5	19	1	0.12	0.12	0.299952702068935	1	0	0	0.85	1
813	mm	4	5	20	-1	1.58	-1.58	1.51872259663646	1	0	1	0.45	1
814	mm	4	5	21	1	0.77	0.77	0.90943743401739	1	1	1	0.72	1
815	mm	4	5	22	1	0.28	0.28	0.299952702068935	1	0	0	0.47	1
816	mm	4	5	23	1	1.58	1.58	0.90943743401739	1	0	0	0.6	1
817	mm	4	5	24	1	1.58	1.58	0.299952702068935	1	1	1	0.45	1
818	mm	4	5	26	1	1.82	1.82	0.90943743401739	1	1	1	4.59	1
819	mm	4	6	1	1	2.87	2.87	1.51872259663646	1	1	1	1.07	1
820	mm	4	6	2	1	1.82	1.82	0.90943743401739	1	1	1	0.77	1
821	mm	4	6	3	1	0.44	0.44	0.299952702068935	1	0	0	0.6	1
822	mm	4	6	4	1	0.28	0.28	0.90943743401739	1	0	0	0.46	1
823	mm	4	6	5	1	1.66	1.66	0.90943743401739	1	0	0	0.57	1
824	mm	4	6	6	1	0.53	0.53	0.299952702068935	1	0	0	0.6	1
825	mm	4	6	7	1	1.98	1.98	0.90943743401739	1	1	1	0.45	1
826	mm	4	6	8	1	2.71	2.71	1.51872259663646	1	1	1	0.63	1
827	mm	4	6	9	-1	1.41	-1.41	1.51872259663646	1	0	1	0.5	1
828	mm	4	6	10	1	1.9	1.9	0.90943743401739	1	0	0	0.61	1
829	mm	4	6	11	1	0.69	0.69	0.299952702068935	1	0	0	1.31	1
830	mm	4	6	12	1	1.01	1.01	0.299952702068935	1	1	1	0.58	1
831	mm	4	6	13	1	2.14	2.14	0.90943743401739	1	1	1	0.65	1
832	mm	4	6	14	1	2.14	2.14	0.90943743401739	1	1	1	0.51	1
833	mm	4	6	15	1	0.2	0.2	0.90943743401739	1	0	0	0.54	1
834	mm	4	6	16	1	1.41	1.41	0.299952702068935	1	1	1	0.77	1
835	mm	4	6	17	1	0.53	0.53	0.299952702068935	1	0	0	0.35	1
836	mm	4	6	18	1	0.61	0.61	0.299952702068935	1	0	0	0.45	1
837	mm	4	6	19	1	0.28	0.28	0.90943743401739	1	0	0	0.5	1
838	mm	4	6	20	1	0.61	0.61	0.299952702068935	1	0	0	0.33	1
839	mm	4	6	21	1	0.69	0.69	0.299952702068935	1	1	1	0.88	1
840	mm	4	6	22	1	2.55	2.55	1.51872259663646	1	1	1	0.97	1
841	mm	4	6	23	1	1.41	1.41	0.299952702068935	1	1	1	1.52	1
842	mm	4	6	24	-1	0.85	-0.85	1.51872259663646	1	0	1	0.69	1
843	mm	4	6	25	1	1.98	1.98	0.90943743401739	1	1	1	0.49	1
844	mm	4	7	1	1	1.41	1.41	0.299952702068935	1	0	0	0.93	1
845	mm	4	7	2	1	1.58	1.58	0.299952702068935	1	1	1	0.51	1
846	mm	4	7	3	1	1.58	1.58	0.299952702068935	1	1	1	0.57	1
847	mm	4	7	4	1	0.44	0.44	0.299952702068935	1	0	0	0.47	1
848	mm	4	7	5	1	2.46	2.46	1.51872259663646	1	0	0	1.44	1
849	mm	4	7	6	1	0.44	0.44	0.299952702068935	1	0	0	0.54	1
850	mm	4	7	7	1	0.36	0.36	0.90943743401739	1	0	0	0.42	1
851	mm	4	7	8	1	0.44	0.44	0.90943743401739	1	0	0	0.42	1
852	mm	4	7	9	1	1.41	1.41	0.299952702068935	1	1	1	0.43	1
853	mm	4	7	10	-1	1.41	-1.41	1.51872259663646	1	0	1	0.47	1
854	mm	4	7	11	1	0.44	0.44	0.90943743401739	1	0	0	0.5	1
855	mm	4	7	12	1	0.53	0.53	0.299952702068935	1	0	0	0.57	1
856	mm	4	7	13	1	3.03	3.03	1.51872259663646	1	1	1	0.87	1
857	mm	4	7	14	1	0.61	0.61	0.299952702068935	1	0	0	0.5	1
858	mm	4	7	15	1	2.95	2.95	1.51872259663646	1	1	1	0.84	1
859	mm	4	7	16	1	1.33	1.33	0.299952702068935	1	1	1	0.66	1
860	mm	4	7	17	-1	1.17	-1.17	1.51872259663646	1	0	1	0.51	1
861	mm	4	7	18	1	2.79	2.79	1.51872259663646	1	1	1	0.69	1
862	mm	4	7	19	1	1.82	1.82	0.90943743401739	1	1	1	0.49	1
863	mm	4	7	20	1	0.61	0.61	0.299952702068935	1	0	0	0.47	1
864	mm	4	7	21	1	1.25	1.25	0.299952702068935	1	0	0	0.45	1
865	mm	4	7	22	-1	0.77	-0.77	1.51872259663646	1	0	1	0.49	1
866	mm	4	7	23	-1	0.44	-0.44	1.51872259663646	1	0	1	0.33	1
867	mm	4	7	24	1	2.63	2.63	1.51872259663646	1	1	1	0.42	1
868	mm	4	7	25	1	0.69	0.69	0.299952702068935	1	0	0	0.63	1
869	mm	4	8	1	1	0.85	0.85	0.90943743401739	1	0	0	0.58	1
870	mm	4	8	2	1	0.61	0.61	0.90943743401739	1	0	0	0.63	1
871	mm	4	8	3	1	0.69	0.69	0.299952702068935	1	0	0	0.43	1
872	mm	4	8	4	1	0.61	0.61	0.90943743401739	1	1	1	0.5	1
873	mm	4	8	5	-1	0.04	-0.04	1.51872259663646	1	0	1	0.58	1
874	mm	4	8	6	1	1.9	1.9	0.90943743401739	1	1	1	0.56	1
875	mm	4	8	7	-1	0.12	-0.12	1.51872259663646	1	1	0	0.72	1
876	mm	4	8	8	1	0.77	0.77	0.299952702068935	1	0	0	0.47	1
877	mm	4	8	9	1	2.63	2.63	1.51872259663646	1	0	0	0.76	1
878	mm	4	8	10	1	1.82	1.82	0.90943743401739	1	1	1	0.49	1
879	mm	4	8	11	1	3.19	3.19	1.51872259663646	1	1	1	0.58	1
880	mm	4	8	12	1	0.44	0.44	0.90943743401739	1	0	0	0.38	1
881	mm	4	8	13	1	1.09	1.09	0.299952702068935	1	0	0	0.56	1
882	mm	4	8	14	1	1.01	1.01	0.299952702068935	1	0	0	0.42	1
883	mm	4	8	15	1	3.11	3.11	1.51872259663646	1	1	1	0.54	1
884	mm	4	8	16	1	1.74	1.74	0.90943743401739	1	1	1	0.72	1
885	mm	4	8	17	1	1.01	1.01	0.299952702068935	1	0	0	0.48	1
886	mm	4	8	18	1	1.01	1.01	0.299952702068935	1	0	0	0.38	1
887	mm	4	8	19	1	1.09	1.09	0.299952702068935	1	0	0	0.49	1
888	mm	4	8	20	-1	1.25	-1.25	1.51872259663646	1	0	1	0.48	1
889	mm	4	8	21	1	1.09	1.09	0.299952702068935	1	1	1	0.6	1
890	mm	4	8	22	1	0.53	0.53	0.90943743401739	1	0	0	0.53	1
891	mm	4	8	23	1	0.53	0.53	0.90943743401739	1	1	1	0.48	1
892	mm	4	8	24	1	2.95	2.95	1.51872259663646	1	1	1	0.61	1
893	mm	4	8	25	1	1.74	1.74	0.90943743401739	1	1	1	0.63	1
894	mm	4	9	1	1	1.74	1.74	0.90943743401739	1	1	1	0.6	1
895	mm	4	9	2	1	0.93	0.93	0.299952702068935	1	0	0	0.55	1
896	mm	4	9	3	1	0.36	0.36	0.90943743401739	1	0	0	0.51	1
897	mm	4	9	4	1	1.01	1.01	0.299952702068935	1	0	0	0.72	1
898	mm	4	9	5	1	0.44	0.44	0.90943743401739	1	0	0	0.78	1
899	mm	4	9	6	1	1.01	1.01	0.299952702068935	1	1	1	0.49	1
900	mm	4	9	7	1	1.58	1.58	0.90943743401739	1	1	1	0.67	1
901	mm	4	9	8	-1	1.09	-1.09	1.51872259663646	1	0	1	0.55	1
902	mm	4	9	9	1	0.44	0.44	0.90943743401739	1	0	0	0.52	1
903	mm	4	9	10	1	2.79	2.79	1.51872259663646	1	1	1	0.48	1
904	mm	4	9	11	1	0.85	0.85	0.299952702068935	1	0	0	0.45	1
905	mm	4	9	12	1	0.93	0.93	0.299952702068935	1	0	0	0.71	1
906	mm	4	9	13	1	1.49	1.49	0.90943743401739	1	0	0	0.52	1
907	mm	4	9	14	-1	0.85	-0.85	1.51872259663646	1	1	0	0.49	1
908	mm	4	9	15	1	0.93	0.93	0.299952702068935	1	1	1	0.77	1
909	mm	4	9	16	-1	1.41	-1.41	1.51872259663646	1	0	1	0.52	1
910	mm	4	9	17	1	1.49	1.49	0.299952702068935	1	1	1	0.79	1
911	mm	4	9	18	1	2.79	2.79	1.51872259663646	1	1	1	0.64	1
912	mm	4	9	19	-1	1.25	-1.25	1.51872259663646	1	0	1	0.45	1
913	mm	4	9	20	1	1.49	1.49	0.299952702068935	1	1	1	0.58	1
914	mm	4	9	21	1	0.85	0.85	0.299952702068935	1	0	0	0.43	1
915	mm	4	9	22	1	2.63	2.63	1.51872259663646	1	1	1	0.67	1
916	mm	4	9	23	-1	4	-4	0.90943743401739	1	0	1	0.48	1
917	mm	4	9	24	1	0.44	0.44	0.90943743401739	1	1	1	0.67	1
918	mm	4	9	25	1	2.46	2.46	1.51872259663646	1	1	1	0.57	1
919	mm	4	10	1	-1	1.01	-1.01	1.51872259663646	1	0	1	1.18	1
920	mm	4	10	2	1	4	4	0.90943743401739	1	1	1	0.46	1
921	mm	4	10	3	1	4	4	0.90943743401739	1	1	1	0.46	1
922	mm	4	10	4	1	1.82	1.82	0.90943743401739	1	1	1	0.69	1
923	mm	4	10	5	1	0.85	0.85	0.299952702068935	1	0	0	0.52	1
924	mm	4	10	6	1	2.14	2.14	1.51872259663646	1	1	1	1.1	1
925	mm	4	10	7	1	1.25	1.25	1.51872259663646	1	1	1	0.58	1
926	mm	4	10	8	1	1.33	1.33	1.51872259663646	1	1	1	0.53	1
927	mm	4	10	9	1	4	4	0.90943743401739	1	1	1	0.46	1
928	mm	4	10	10	1	1.82	1.82	0.90943743401739	1	1	1	0.6	1
929	mm	4	10	11	1	1.01	1.01	1.51872259663646	1	1	1	0.53	1
930	mm	4	10	12	1	1.01	1.01	1.51872259663646	1	1	1	0.4	1
931	mm	4	10	13	1	0.93	0.93	1.51872259663646	1	1	1	0.47	1
932	mm	4	10	14	1	0.28	0.28	0.90943743401739	1	0	0	0.4	1
933	mm	4	10	15	-1	4	-4	0.90943743401739	1	0	1	0.43	1
934	mm	4	10	16	1	0.85	0.85	1.51872259663646	1	0	0	0.57	1
935	mm	4	10	17	1	0.85	0.85	0.299952702068935	1	1	1	1.14	1
936	mm	4	10	18	1	1.33	1.33	1.51872259663646	1	1	1	0.82	1
937	mm	4	10	19	1	1.49	1.49	0.299952702068935	1	0	0	0.55	1
938	mm	4	10	20	1	1.58	1.58	0.299952702068935	1	0	0	0.57	1
939	mm	4	10	21	1	1.66	1.66	0.299952702068935	1	1	1	0.72	1
940	mm	4	10	22	1	0.36	0.36	0.90943743401739	1	0	0	0.48	1
941	mm	4	10	23	1	1.17	1.17	1.51872259663646	1	1	1	0.6	1
942	mm	4	10	24	1	1.66	1.66	0.299952702068935	1	1	1	0.66	1
943	mm	4	10	25	1	1.82	1.82	0.90943743401739	1	1	1	0.44	1
944	mm	4	11	1	1	0.36	0.36	0.90943743401739	1	0	0	1.06	1
945	mm	4	11	2	1	1.09	1.09	1.51872259663646	1	1	1	0.92	1
946	mm	4	11	3	1	1.01	1.01	1.51872259663646	1	1	1	0.92	1
947	mm	4	11	4	-1	4	-4	0.90943743401739	1	0	1	0.56	1
948	mm	4	11	5	1	1.74	1.74	0.90943743401739	1	1	1	0.57	1
949	mm	4	11	6	1	0.93	0.93	1.51872259663646	1	1	1	0.61	1
950	mm	4	11	7	1	0.77	0.77	1.51872259663646	1	1	1	0.75	1
951	mm	4	11	8	1	1.66	1.66	0.299952702068935	1	1	1	0.86	1
952	mm	4	11	9	1	1.66	1.66	0.299952702068935	1	1	1	0.5	1
953	mm	4	11	10	1	4	4	0.299952702068935	1	1	1	0.48	1
954	mm	4	11	11	1	0.77	0.77	1.51872259663646	1	0	0	0.6	1
955	mm	4	11	12	1	1.09	1.09	1.51872259663646	1	0	0	0.56	1
956	mm	4	11	13	1	0.44	0.44	0.90943743401739	1	0	0	0.49	1
957	mm	4	11	14	1	0.44	0.44	0.90943743401739	1	0	0	0.53	1
958	mm	4	11	15	1	1.66	1.66	0.90943743401739	1	1	1	0.48	1
959	mm	4	11	16	-1	4	-4	1.51872259663646	1	0	1	0.53	1
960	mm	4	11	17	1	1.58	1.58	0.299952702068935	1	0	0	0.58	1
961	mm	4	11	18	1	4	4	1.51872259663646	1	1	1	0.4	1
962	mm	4	11	19	-1	4	-4	0.90943743401739	1	0	1	0.39	1
963	mm	4	11	20	1	4	4	0.299952702068935	1	1	1	0.3	1
964	mm	4	11	21	1	1.74	1.74	0.299952702068935	1	1	1	0.57	1
965	mm	4	11	22	-1	4	-4	0.299952702068935	1	0	1	0.39	1
966	mm	4	11	23	1	4	4	0.299952702068935	1	1	1	0.32	1
967	mm	4	11	24	-1	4	-4	1.51872259663646	1	0	1	0.42	1
968	mm	4	11	25	-1	4	-4	1.51872259663646	1	0	1	0.4	1
969	mm	4	12	1	-1	4	-4	1.51872259663646	1	0	1	0.62	1
970	mm	4	12	2	1	0.44	0.44	0.90943743401739	1	0	0	0.82	1
971	mm	4	12	3	1	1.74	1.74	0.299952702068935	1	1	1	0.7	1
972	mm	4	12	4	-1	4	-4	0.299952702068935	1	0	1	0.5	1
973	mm	4	12	5	1	1.66	1.66	0.90943743401739	1	0	0	0.87	1
974	mm	4	12	6	-1	4	-4	1.51872259663646	1	0	1	0.49	1
975	mm	4	12	7	1	4	4	0.90943743401739	1	1	1	0.3	1
976	mm	4	12	8	1	4	4	1.51872259663646	1	1	1	0.35	1
977	mm	4	12	9	-1	4	-4	0.299952702068935	1	0	1	0.37	1
978	mm	4	12	10	1	4	4	1.51872259663646	1	1	1	0.58	1
979	mm	4	12	11	1	1.74	1.74	0.299952702068935	1	1	1	0.54	1
980	mm	4	12	12	1	4	4	1.51872259663646	1	1	1	0.34	1
981	mm	4	12	13	1	0.69	0.69	0.299952702068935	1	0	0	0.47	1
982	mm	4	12	14	-1	1.17	-1.17	1.51872259663646	1	0	1	1.09	1
983	mm	4	12	15	1	4	4	1.51872259663646	1	1	1	0.52	1
984	mm	4	12	16	-1	4	-4	1.51872259663646	1	0	1	0.48	1
985	mm	4	12	17	-1	4	-4	0.90943743401739	1	0	1	0.31	1
986	mm	4	12	18	1	4	4	1.51872259663646	1	1	1	0.43	1
987	mm	4	12	19	1	1.82	1.82	0.90943743401739	1	1	1	0.34	1
988	mm	4	12	20	1	0.44	0.44	0.90943743401739	1	1	1	0.42	1
989	mm	4	12	21	1	4	4	0.90943743401739	1	1	1	0.42	1
990	mm	4	12	22	1	0.69	0.69	0.299952702068935	1	0	0	0.53	1
991	mm	4	12	23	1	4	4	0.299952702068935	1	1	1	0.41	1
992	mm	4	12	24	1	0.69	0.69	0.299952702068935	1	0	0	0.54	1
993	mm	4	12	25	-1	1.17	-1.17	1.51872259663646	1	0	1	0.62	1
994	ml	5	1	1	1	0.04	0.04	0.299952702068935	1	0	0	0.46	1
995	ml	5	1	2	1	0.04	0.04	0.90943743401739	1	0	0	0.39	1
996	ml	5	1	3	1	0.53	0.53	0.299952702068935	1	0	0	0.72	1
997	ml	5	1	4	-1	0.04	-0.04	1.51872259663646	1	0	1	0.49	1
998	ml	5	1	5	1	0.36	0.36	0.299952702068935	1	0	0	0.55	1
999	ml	5	1	6	1	1.09	1.09	0.299952702068935	1	1	1	0.35	1
1000	ml	5	1	7	1	0.04	0.04	0.299952702068935	1	0	0	0.38	1
1001	ml	5	1	8	1	0.53	0.53	1.51872259663646	1	0	0	0.59	1
1002	ml	5	1	9	1	0.53	0.53	0.90943743401739	1	0	0	0.44	1
1003	ml	5	1	10	1	1.33	1.33	0.299952702068935	1	1	1	0.39	1
1004	ml	5	1	11	1	0.36	0.36	0.90943743401739	1	1	1	0.43	1
1005	ml	5	1	12	1	0.36	0.36	1.51872259663646	1	0	0	0.52	1
1006	ml	5	1	13	1	1.33	1.33	0.299952702068935	1	1	1	0.42	1
1007	ml	5	1	14	1	1.09	1.09	1.51872259663646	1	1	1	0.42	1
1008	ml	5	1	15	1	0.04	0.04	1.51872259663646	1	0	0	0.39	1
1009	ml	5	1	16	-1	0.53	-0.53	0.90943743401739	1	0	1	0.5	1
1010	ml	5	1	17	-1	0.53	-0.53	0.90943743401739	1	0	1	0.35	1
1011	ml	5	1	18	1	1.33	1.33	1.51872259663646	1	1	1	0.39	1
1012	ml	5	1	19	1	1.33	1.33	1.51872259663646	1	1	1	0.46	1
