session	block	trial3	side	ecc	tarDur	sigma	soa	tedfTOn	tedfSac	tedfTOf	PeakLum	sacRT	sacOnset	sacOffset	sacDur	sacVPeak	sacDist	sacxOnset	sacyOnset	sacxOffset	sacyOffset	errorChange	largerAmp	blink	id	id_n	plf	sacXresp	gain	tarX	tarX_s	sacXresp_s	sacErr	session_number
small	1	8	1	7	0.8	1.51875053634257	0.59	601	1025	1418	50.44071	413	413	440	28	438.553	7.7579	0.87973607557927	-0.313591034695088	7.03643607557927	0.148708965304912	-5.8503	0	0	ml	0	50	7.05904802463474	1.00843543209068	7	7	6.1567	0.15310762216714	1
small	1	19	1	6	0.8	1.51875053634257	0.69	700	965	1518	50.44071	253	253	280	28	398.1204	6.2234	0.571315070252326	0.452206240810421	5.50861507025233	0.744106240810422	-4.9421	0	0	ml	0	50	5.47139981161	0.911899968601666	6	6	4.9373	0.891713657401379	1
small	2	7	1	6	0.8	0.300000598707988	0.53	550	778	1368	145.9493	213	213	249	37	422.6201	6.98	0.91184778415105	0.09117425590133	7.05414778415105	0.74517425590133	-3.9281	0	0	ml	0	146	7.26283428256114	1.21047238042686	6	6	6.1423	1.29093463137708	1
small	2	11	1	9	0.8	1.51875053634257	0.72	734	970	1551	50.44071	225	225	258	34	450.9005	9.2361	0.532778169414793	0.0144355203576028	8.22987816941479	0.548635520357603	-7.6032	0	0	ml	0	50	8.19460348253998	0.910511498059998	9	9	7.6971	0.945562567016043	1
small	2	12	-1	6	0.8	0.90937556752528	0.8	817	1042	1635	57.34494	212	212	252	41	355.7018	6.2329	-0.712064835478156	-0.377233665920044	-6.38356483547816	-0.262533665920044	-4.906	0	0	ml	0	57	6.41874941054419	1.06979156842403	6	-6	-5.6715	0.46480738887931	1
small	2	13	-1	10	0.8	1.51875053634257	0.54	551	897	1368	50.44071	334	334	370	37	407.4731	8.4239	-0.570208078844356	0.237503295025228	-7.82870807884436	0.567803295025228	-7.2427	0	0	ml	0	50	7.68640199930109	0.768640199930109	10	-10	-7.2585	2.24430594810896	1
small	2	15	1	10	0.8	0.90937556752528	0.55	567	800	1385	57.34494	222	222	259	38	504.7313	11.3516	0.721704722990499	0.289095555809755	10.5885047229905	0.905695555809755	-8.6974	0	0	ml	0	57	10.649656229425	1.0649656229425	10	10	9.8668	1.08010288806005	1
small	2	16	-1	6	0.8	0.300000598707988	0.77	784	995	1602	145.9493	199	199	229	31	350.5468	6.4417	-0.806139229825361	-0.347249195469784	-6.06203922982536	-0.00394919546978367	-5.0212	1	0	ml	0	146	6.05611461053925	1.00935243508988	6	-6	-5.2559	0.062164798577511	1
small	2	17	-1	10	0.8	0.300000598707988	0.67	684	888	1502	145.9493	194	194	248	55	499.3647	9.6162	-0.963383417148267	0.152512098235111	-9.46788341714827	0.589812098235111	-8.3715	0	0	ml	0	146	9.39734140708737	0.939734140708737	10	-10	-8.5045	0.794371681878395	1
small	2	18	-1	10	0.8	0.300000598707988	0.55	550	797	1368	145.9493	236	236	273	38	479.1688	10.636	-1.17682783799702	0.324079411631617	-10.382227837997	0.721579411631617	-8.6361	1	0	ml	0	146	10.4175908741116	1.04175908741116	10	-10	-9.2054	0.816562898637028	1
small	2	19	1	7	0.8	0.300000598707988	0.53	534	775	1351	145.9493	229	229	275	47	458.0265	8.0017	0.447827508605479	-0.00444728046726045	7.74602750860548	0.64125271953274	-5.2295	0	0	ml	0	146	7.81272365805169	1.11610337972167	7	7	7.2982	0.983748999442557	1
small	2	20	1	7	0.8	0.300000598707988	0.53	550	764	1368	145.9493	201	201	232	32	382.623	8.2823	0.895282623632234	-0.0213680031431296	7.72498262363223	0.55443199685687	-5.5252	0	0	ml	0	146	7.8481679690065	1.12116685271521	7	7	6.8297	0.91268540237443	1
small	3	2	-1	7	0.8	1.51875053634257	0.66	684	922	1501	50.44071	226	226	279	54	433.309	6.8283	-0.529062491947817	-0.124282781372656	-6.46376249194782	0.0459172186273437	-5.8625	0	0	ml	0	50	6.40698642813078	0.915283775447255	7	-7	-5.9347	0.538199829067685	1
small	3	3	1	8	0.8	1.51875053634257	0.74	751	986	1568	50.44071	223	223	266	44	445.2409	8.5389	0.529192162830207	0.0114083599719991	8.42899216283021	0.585208359971999	-6.6053	0	0	ml	0	50	8.47413446324653	1.05926680790582	8	8	7.8998	0.725605333739255	1
small	3	4	1	9	0.8	0.90937556752528	0.78	801	1026	1618	57.34494	212	212	245	34	498.7652	9.4375	0.578146588927152	-0.261994603877256	8.57014658892715	0.331305396122744	-7.923	0	0	ml	0	57	8.55379419424657	0.950421577138508	9	9	7.992	0.542712834297303	1
small	3	5	1	9	0.8	0.90937556752528	0.53	533	807	1351	57.34494	262	262	306	45	490.1279	9.6287	-0.0573992127001584	-0.0900916975848826	9.04000078729984	0.480608302415117	-7.9229	0	0	ml	0	57	9.05263972580021	1.00584885842225	9	9	9.0974	0.482270052289117	1
small	3	6	-1	9	0.8	0.300000598707988	0.75	767	975	1584	145.9493	196	196	252	57	542.9165	10.1043	-0.650445241098902	0.246317054287857	-9.8045452410989	0.528317054287857	-7.212	0	0	ml	0	146	9.85206400076533	1.09467377786281	9	-9	-9.1541	0.962502963541563	1
small	3	7	1	6	0.8	1.51875053634257	0.57	584	911	1401	50.44071	316	316	354	39	400.6663	5.9512	1.25360850467975	-0.026568372717531	6.42780850467975	0.444131627282469	-4.3622	1	0	ml	0	50	6.55847557884063	1.0930792631401	6	6	5.1742	0.61666280820956	1
small	3	8	1	10	0.8	0.300000598707988	0.77	784	1073	1602	145.9493	279	279	325	47	529.9624	10.5838	0.916562025580676	-0.164848002957207	10.7379620255807	0.147751997042793	-8.1218	0	0	ml	0	146	10.8276097765332	1.08276097765332	10	10	9.8214	0.752607868567202	1
