"id" "exp" "session" "PL" "sigma" "posu" "STD" "STD_se" "alpha" "alpha_se" "id.1" "ideal_gain" "ideal_gain_R" "observed_gain" "observed_gain_se" "observed_sd" "STD_R" "STD_se.1" "Lshp" "Lshp_se" "alpha_R" "alpha_se_R"
"1_1" "mm" "exp1" "large" 146 0.3 1 0.0909672627319604 0.00439004344174668 0.910952201834482 0.00779639551568561 "mm_exp1" 0.917216219863153 0.92977716050008 0.937540272514356 0.00758349421723729 0.0979709679040844 0.0923532766266736 0.00363384409352896 0.0656707069339078 NA 0.618722167515394 0.00581440570011962
"1_2" "mm" "exp1" "large" 57 0.9 2 0.108265847836678 0.00507851542388223 0.910952201834482 0.00779639551568561 "mm_exp1" 0.901473826508083 0.901536413563507 0.898270823799938 0.00780665099570178 0.107073104002538 0.109690758719897 0.00403600147774884 0.0656707069339078 NA 0.618722167515394 0.00581440570011962
"1_3" "mm" "exp1" "large" 50 1.5 3 0.140981406043837 0.00647229465294382 0.910952201834482 0.00779639551568561 "mm_exp1" 0.871701384284095 0.852153624845979 0.843066890723734 0.00938829222510636 0.124394355931803 0.134748491348541 0.00454498714402569 0.0656707069339078 NA 0.618722167515394 0.00581440570011962
"2_1" "mm" "exp1" "small" 146 0.3 1 0.112701564119709 0.00516286007445236 0.910952201834482 0.00779639551568561 "mm_exp1" 0.897437151517472 0.903623637042203 0.91886508823024 0.00907369921852019 0.120481949780318 0.108504254908135 0.00279727783971035 0.0656707069339078 NA 0.618722167515394 0.00581440570011962
"2_2" "mm" "exp1" "small" 57 0.9 2 0.0969636067101181 0.00427654588197641 0.910952201834482 0.00779639551568561 "mm_exp1" 0.911759309855031 0.91410220652741 0.903715162308648 0.00678785865889258 0.0931263654752824 0.102339854699438 0.00367244925926715 0.0656707069339078 NA 0.618722167515394 0.00581440570011962
"2_3" "mm" "exp1" "small" 50 1.5 3 0.134695767091364 0.00596481808552657 0.910952201834482 0.00779639551568561 "mm_exp1" 0.877421562710235 0.86521789112404 0.864752108131733 0.00896170104471254 0.128521636522361 0.12859538678067 0.00424823263297711 0.0656707069339078 NA 0.618722167515394 0.00581440570011962
"1_11" "ks" "exp1" "large" 146 0.3 1 0.134149955577883 0.00829904969693299 0.927803214040807 0.00939571400199058 "ks_exp1" 0.866436841725877 0.86642763633 0.854017794234585 0.0136058156740296 0.127888267410306 0.134135130736806 0.00829546301839579 10 1.00574688707521e-07 0.927770921124314 0.00939726843634034
"1_21" "ks" "exp1" "large" 57 0.9 2 0.0843544671694958 0.00535886744179134 0.927803214040807 0.00939571400199058 "ks_exp1" 0.916014515322001 0.916010071502992 0.914100455446785 0.00853511231565715 0.0838381780042329 0.0843621513338003 0.00535965359019274 10 1.00574688707521e-07 0.927770921124314 0.00939726843634034
"1_31" "ks" "exp1" "large" 50 1.5 3 0.10265209844194 0.00628789337962045 0.927803214040807 0.00939571400199058 "ks_exp1" 0.897796920692305 0.897797003614215 0.87715852150189 0.00930467826244721 0.0899181927106335 0.102648910781992 0.00628660567558505 10 1.00574688707521e-07 0.927770921124314 0.00939726843634034
"2_11" "ks" "exp1" "small" 146 0.3 1 0.163752283499925 0.0102367452855942 0.927803214040807 0.00939571400199058 "ks_exp1" 0.836963997811377 0.83693117426739 0.847296670305403 0.0168203530382681 0.169427169068308 0.163726973827398 0.0102309374194929 10 1.00574688707521e-07 0.927770921124314 0.00939726843634034
