"vpcode" "vp" "session" "block" "trial3" "side" "ecc" "tarDur" "sigma" "soa" "tFix" "tOn" "tOff" "tSac" "sacRT_fd" "tedfTOn" "tedfSac" "tedfTOf" "tedfFix" "cxm" "cym" "tarx" "tary" "gap" "PeakLum" "tedfFixOff" "sacNumber" "sacRT" "largebef" "sacType" "sacOnset" "sacOffset" "sacDur" "sacVPeak" "sacDist" "sacAngle1" "sacAmp" "sacAngle2" "sacxOnset" "sacyOnset" "sacxOffset" "sacyOffset" "sacNumberAfterOnset" "sacNumberAfterPrimary" "errorChange" "sameDir" "largerAmp" "blink" "id" "id_n" "tarX" "sacXresp" "gain" "sigmaf" "tarX_s" "sacXresp_s" "sacErr" "unique_trial" "primary_error" "primary_xerror" "primary_RT" "primary_xresp" "primary_xresp_s" "s2_dir" "primary_xerr_sacdir" "undershoot" "undershoot_label" "sacXresp_sacdir"
"4469" "04mm01" 4 1 1 3 -1 11 0.5 0.300000598707988 0.77 2277.08 2277.86 2278.38 2278.12 0.26 784 1043 1301 2823902 971 607 105 151.75 0 175 NA 4 171 1 2 487 509 23 157.8689 0.2616 -3.1111 1.207 -3.0455 -10.3341 0.0521 -10.6316 0.0374 2 2 -0.2536 1 0 0 "mm" 4 11 0.297500000000001 0.446763778345098 "0.3" -11 -0.297500000000001 0.370293559220248 "04mm01_1_1_3" 1.11472660325301 1.1112 249 9.78876282019521 -8.9803 "same as primary" -1.1112 1 "after
undershoot" 0.297500000000001
"4505" "04mm01" 4 1 1 31 -1 10 0.5 0.300000598707988 0.75 2337.36 2338.13 2338.65 2338.41 0.28 768 1044 1285 2884183 975 608 118.5 152 0 175 NA 2 185 1 2 503 526 24 113.6629 0.3983 3.0664 0.8907 3.0203 -8.9269 -0.183 -9.2483 -0.1505 2 2 -0.3217 1 0 0 "mm" 4 10 0.321400000000001 0.299506103811388 "0.3" -10 -0.321400000000001 0.766617988309692 "04mm01_1_1_31" 1.64616165062852 1.6147 266 8.25364207611858 -7.6314 "same as primary" -1.6147 1 "after
undershoot" 0.321400000000001
"4507" "04mm01" 4 1 1 32 -1 12 0.5 1.51875053634257 0.74 2339.73 2340.48 2341 2340.78 0.3 751 1051 1268 2886552 935 609 83.5 152.25 0 6.83 NA 2 20 1 2 343 355 13 75.137 0.6094 3.0925 0.6168 2.9791 -9.3632 -0.4089 -9.5732 -0.3571 2 2 -0.213 1 0 0 "mm" 4 12 0.209999999999999 0.0796419902912618 "1.5" -12 -0.209999999999999 2.45293266316057 "04mm01_1_1_32" 2.96113554569864 2.9366 290 8.63143807593775 -7.5246 "same as primary" -2.9366 1 "after
undershoot" 0.209999999999999
"4511" "04mm01" 4 1 1 35 -1 11 0.5 0.300000598707988 0.63 2346.35 2347 2347.52 2347.3 0.29 650 944 1167 2893174 962 583 102.75 145.75 0 175 NA 2 171 1 2 519 527 9 71.7403 0.5053 0.2028 0.5053 0.2028 -9.9502 0.2695 -9.894 0.2779 2 2 0.0556 0 0 0 "mm" 4 11 0.0562000000000005 0.0535340064774248 "0.3" -11 0.0562000000000005 1.14037906417121 "04mm01_1_1_35" 1.5844282375671 1.548 282 9.3443689292069 -8.7369 "opposite to primary" -1.548 1 "after
undershoot" -0.0562000000000005
"4520" "04mm01" 4 1 1 42 1 10 0.5 0.300000598707988 0.74 2361.48 2362.23 2362.75 2362.48 0.25 750 997 1267 2908303 961 619 365.5 154.75 0 175 NA 2 297 1 2 586 602 17 450.6767 4.6665 3.1288 4.6673 3.1198 9.0397 -1.0677 5.3259 -1.0097 2 2 3.5382 0 0 0 "mm" 4 10 3.7138 3.86733312506508 "0.3" 10 -3.7138 4.78191435515108 "04mm01_1_1_42" 1.06242779519363 0.0531000000000006 235 10.05780598526 9.239 "opposite to primary" 0.0531000000000006 0 "after
overshoot" -3.7138
"4529" "04mm01" 4 1 1 47 -1 10 0.5 0.90937556752528 0.69 2372.28 2372.98 2373.49 2373.23 0.26 700 956 1217 2919095 968 616 116.75 154 0 19.05 NA 3 17 1 2 299 306 8 76.8319 0.5214 3.0995 0.5304 2.9523 -8.2648 -0.3336 -8.3532 -0.3033 2 2 -0.0883 1 0 0 "mm" 4 10 0.0884 0.0509451360073767 "0.9" -10 -0.0884 1.67449727679683 "04mm01_1_1_47" 1.86086793190704 1.8245 242 8.1155947573357 -7.8576 "same as primary" -1.8245 1 "after
undershoot" 0.0884
"4531" "04mm01" 4 1 1 48 -1 10 0.5 0.300000598707988 0.64 2374.41 2375.06 2375.58 2375.3 0.24 650 886 1168 2921230 963 593 115.5 148.25 0 175 NA 2 160 1 2 422 445 24 179.2333 0.7687 -2.9483 1.6918 -3.0257 -9.2664 0.4441 -9.7967 0.3608 2 2 -0.4753 1 0 0 "mm" 4 10 0.530299999999999 0.722873500545255 "0.3" -10 -0.530299999999999 0.414134676162236 "04mm01_1_1_48" 1.37821247273416 1.3341 223 8.50985166651774 -7.6187 "same as primary" -1.3341 1 "after
undershoot" 0.530299999999999
"4539" "04mm01" 4 1 2 5 -1 10 0.5 0.300000598707988 0.62 2390.11 2390.74 2391.26 2390.96 0.22 633 855 1150 2936926 955 587 113.5 146.75 0 175 NA 2 190 1 2 465 475 11 89.5394 0.8281 -3.0232 0.8281 -3.0232 -9.5867 0.3381 -9.8243 0.2925 2 2 -0.2416 1 0 0 "mm" 4 10 0.237599999999999 0.574885071376721 "0.3" -10 -0.237599999999999 0.341213628098293 "04mm01_2_1_5" 0.77171251771628 0.6465 207 9.29207319076246 -8.4858 "same as primary" -0.6465 1 "after
undershoot" 0.237599999999999
"4550" "04mm01" 4 1 2 10 -1 10 0.5 1.51875053634257 0.74 2400.77 2401.52 2402.03 2401.8 0.29 751 1036 1268 2947584 953 607 113 151.75 0 6.83 NA 2 225 1 2 562 599 38 376.9232 0.8791 1.6185 2.468 -2.0435 -8.5361 -0.645 -8.4721 -0.1128 2 2 -0.0136 0 0 0 "mm" 4 10 0.0640000000000001 0.0437188332536376 "1.5" -10 0.0640000000000001 1.53205817448294 "04mm01_2_1_10" 1.49877459946451 1.4949 274 8.35238231695892 -7.5782 "opposite to primary" -1.4949 1 "after
undershoot" -0.0640000000000001
"4557" "04mm01" 4 1 2 14 -1 10 0.5 0.300000598707988 0.7 2409.47 2410.19 2410.71 2410.42 0.23 717 950 1234 2956291 961 606 115 151.5 0 175 NA 2 155 1 2 428 449 22 139.1947 0.3096 3.1029 0.9675 -3.0341 -9.2536 0.0091 -9.5422 0.0291 2 2 -0.2753 1 0 0 "mm" 4 10 0.288599999999999 0.386655948553053 "0.3" -10 -0.288599999999999 0.458723936589318 "04mm01_2_1_14" 1.07831206058358 1.0783 221 8.80119624672033 -7.9165 "same as primary" -1.0783 1 "after
undershoot" 0.288599999999999
"4559" "04mm01" 4 1 2 15 -1 11 0.5 0.300000598707988 0.62 2411.66 2412.29 2412.81 2412.54 0.24 634 879 1151 2958476 958 601 101.75 150.25 0 175 NA 2 156 1 2 432 457 26 150.0197 0.5968 -3.1282 1.3413 -3.0462 -10.0485 0.2261 -10.5578 0.1881 2 2 -0.4962 1 0 0 "mm" 4 11 0.5093 0.535260115606936 "0.3" -11 -0.5093 0.480543910584662 "04mm01_2_1_15" 1.3926411490402 1.3659 235 9.44288645690835 -8.2833 "same as primary" -1.3659 1 "after
undershoot" 0.5093
"4567" "04mm01" 4 1 2 22 1 12 0.5 0.300000598707988 0.76 2427.75 2428.52 2429.04 2428.83 0.3 768 1072 1286 2974572 954 591 388.75 147.75 0 175 NA 2 169 1 2 518 542 25 157.1158 0.7396 -0.0567 1.4266 -0.1658 11.4876 -0.0028 12.1154 -0.0182 2 2 -0.1167 1 0 0 "mm" 4 12 0.627799999999999 1.22521467603435 "0.3" 12 0.627799999999999 0.116826366886931 "04mm01_2_1_22" 0.605105693247056 -0.5473 292 11.4182713599887 10.7425 "same as primary" -0.5473 1 "after
undershoot" 0.627799999999999
"4573" "04mm01" 4 1 2 26 1 10 0.5 1.51875053634257 0.57 2436.29 2436.88 2437.4 2437.28 0.4 583 981 1100 2983113 967 604 367 151 0 6.83 NA 2 48 1 2 469 505 37 406.8878 4.311 0.1905 5.3058 0.1812 8.4388 -0.3815 12.2101 0.384 2 2 0.3965 1 0 0 "mm" 4 10 3.7713 2.41564181398924 "1.5" 10 3.7713 2.24321153928915 "04mm01_2_1_26" 2.78269180650679 -2.772 386 7.0258787176516 6.5484 "same as primary" -2.772 1 "after
undershoot" 3.7713
"4581" "04mm01" 4 1 2 30 -1 12 0.5 0.300000598707988 0.53 2444.87 2445.4 2445.92 2445.66 0.25 534 788 1051 2991686 954 616 88.25 154 0 175 NA 3 168 1 2 482 504 23 114.7812 0.3712 -3.1362 1.046 -3.0767 -11.3006 -0.1843 -11.6482 -0.2076 2 2 -0.3455 1 0 0 "mm" 4 12 0.3476 0.496997426365455 "0.3" -12 -0.3476 0.408486229878071 "04mm01_2_1_30" 1.00996954409527 1.0042 241 10.9174213022855 -10.127 "same as primary" -1.0042 1 "after
undershoot" 0.3476
"4585" "04mm01" 4 1 2 32 -1 11 0.5 0.300000598707988 0.57 2448.87 2449.46 2449.97 2449.74 0.28 584 865 1101 2995689 966 586 103.75 146.5 0 175 NA 2 168 1 2 490 499 10 141.6436 1.0146 -3.1042 1.0177 -3.0552 -10.0168 0.4259 -10.3491 0.4128 2 2 -0.3281 1 0 0 "mm" 4 11 0.3323 0.337978030919447 "0.3" -11 -0.3323 0.770762382320258 "04mm01_2_1_32" 1.38066013558732 1.3329 270 9.54056717398445 -8.7134 "same as primary" -1.3329 1 "after
undershoot" 0.3323
"4588" "04mm01" 4 1 2 34 -1 11 0.5 0.300000598707988 0.74 2452.96 2453.71 2454.23 2453.95 0.24 750 992 1268 2999776 965 605 103.5 151.25 0 175 NA 2 163 1 2 434 458 25 176.6648 0.4289 -2.9068 1.4099 -3.0295 -10.2981 0.127 -10.6983 0.0774 2 2 -0.3742 1 0 0 "mm" 4 11 0.4002 0.570166690411739 "0.3" -11 -0.4002 0.311470143031399 "04mm01_2_1_34" 1.63790078148831 1.6364 230 9.2387084148728 -8.5836 "same as primary" -1.6364 1 "after
undershoot" 0.4002
"4592" "04mm01" 4 1 2 37 -1 12 0.5 0.300000598707988 0.73 2459.35 2460.1 2460.61 2460.36 0.26 750 1009 1267 3006165 971 603 92.5 150.75 0 175 NA 2 150 1 2 455 466 12 144.094 1.2193 -3.0859 1.2193 -3.0859 -10.6198 -0.0636 -11.0914 -0.0825 2 2 -0.4712 1 0 0 "mm" 4 12 0.4716 0.34168961020142 "0.3" -12 -0.4716 0.912337771880568 "04mm01_2_1_37" 1.79350362419483 1.793 249 10.0730099591603 -9.3726 "same as primary" -1.793 1 "after
undershoot" 0.4716
"4597" "04mm01" 4 1 2 40 -1 11 0.5 0.300000598707988 0.76 2465.67 2466.44 2466.95 2466.72 0.29 767 1054 1284 3012486 959 591 102 147.75 0 175 NA 3 162 1 2 491 515 25 204.0721 0.4232 3.1227 1.5836 3.0482 -10.5142 0.2266 -10.9928 0.2234 2 2 -0.4549 1 0 0 "mm" 4 11 0.4786 0.985179086043641 "0.3" -11 -0.4786 0.223515994953381 "04mm01_2_1_40" 1.06275638318478 1.0512 276 9.81417671671179 -8.7 "same as primary" -1.0512 1 "after
undershoot" 0.4786
"4599" "04mm01" 4 1 2 41 1 12 0.5 0.90937556752528 0.58 2467.95 2468.54 2469.06 2468.8 0.27 584 849 1102 3014771 930 584 382.75 146 0 19.05 NA 2 287 1 2 585 600 16 357.2849 3.8559 3.1364 3.8565 3.124 10.2749 0.5829 7.1006 0.5767 2 2 3.1515 0 0 0 "mm" 4 12 3.1743 1.8400672424787 "0.9" 12 -3.1743 4.93322442728891 "04mm01_2_1_41" 1.4333856773388 -1.2285 253 10.7919661075283 10.9748 "opposite to primary" -1.2285 1 "after
undershoot" -3.1743
"4633" "04mm01" 4 1 3 11 1 12 0.5 0.300000598707988 0.58 2512.41 2512.99 2513.51 2513.32 0.33 594 914 1102 3059223 947 605 387 151.25 0 175 NA 3 152 1 2 522 547 26 155.9623 1.0143 -0.0689 1.59 -0.1715 10.7402 -0.2281 11.5659 -0.2297 2 2 -0.7899 1 0 0 "mm" 4 12 0.825699999999999 0.655421495475472 "0.3" 12 0.825699999999999 0.491126154872657 "04mm01_3_1_11" 1.17826313275092 -1.1775 308 10.8086304730909 10.6828 "same as primary" -1.1775 1 "after
undershoot" 0.825699999999999
"4636" "04mm01" 4 1 3 13 -1 11 0.5 0.300000598707988 0.66 2516.51 2517.18 2517.7 2517.41 0.23 667 902 1184 3063327 980 594 107.25 148.5 0 175 NA 2 185 1 2 452 474 23 116.5352 0.3555 3.1023 1.0658 -2.9912 -10.3576 0.3871 -10.637 0.4024 2 2 -0.0739 1 0 0 "mm" 4 11 0.279400000000001 0.434931506849316 "0.3" -11 -0.279400000000001 0.541936121697013 "04mm01_3_1_13" 1.07660027865499 1.0304 225 9.84308621939145 -8.7667 "same as primary" -1.0304 1 "after
undershoot" 0.279400000000001
"4639" "04mm01" 4 1 3 14 1 10 0.5 0.300000598707988 0.74 2518.61 2519.36 2519.88 2519.6 0.23 751 984 1268 3065428 967 612 367 153 0 175 NA 3 135 1 2 394 419 26 279.7708 1.5048 -3.1363 2.7248 3.1211 2.6191 -0.5787 1.4094 -0.5967 2 2 1.2094 0 0 0 "mm" 4 10 1.2097 0.163896001842594 "0.3" 10 -1.2097 8.61129834868123 "04mm01_3_1_14" 6.59534324504798 -6.5836 217 3.24142037346912 3.1575 "opposite to primary" -6.5836 1 "after
undershoot" -1.2097
"4645" "04mm01" 4 1 3 18 1 11 0.5 0.300000598707988 0.51 2528.62 2529.16 2529.67 2529.39 0.24 534 773 1051 3075436 952 598 375.75 149.5 0 175 NA 2 233 1 2 522 543 22 176.0144 0.8062 2.9194 1.4241 3.0165 11.0389 -0.5004 10.4655 -0.448 2 2 0.0365 0 0 0 "mm" 4 11 0.573399999999999 14.7403598971722 "0.3" 11 -0.573399999999999 0.697419708640356 "04mm01_3_1_18" 0.643542205298146 0.558400000000001 228 11.5869525747977 11.0233 "opposite to primary" 0.558400000000001 0 "after
overshoot" -0.573399999999999
"4647" "04mm01" 4 1 3 19 -1 10 0.5 0.90937556752528 0.56 2530.59 2531.17 2531.69 2531.44 0.27 584 850 1101 3077405 960 594 114.75 148.5 0 19.05 NA 2 23 1 2 311 319 9 96.1349 0.6272 -3.1002 0.6362 -2.9682 -9.104 -0.1512 -9.2404 -0.1266 2 2 -0.1375 1 0 0 "mm" 4 10 0.1364 0.152232142857143 "0.9" -10 -0.1364 0.770077736335755 "04mm01_3_1_19" 1.36808120007549 1.3661 258 8.31051583620871 -6.7198 "same as primary" -1.3661 1 "after
undershoot" 0.1364
"4657" "04mm01" 4 1 3 24 -1 10 0.5 0.300000598707988 0.54 2541.52 2542.07 2542.58 2542.36 0.29 551 845 1068 3088330 965 595 116 148.75 0 175 NA 4 233 1 2 552 572 21 120.6427 0.1977 2.9383 0.869 3.0611 -9.8316 -0.0255 -10.018 0.0147 2 2 0.0039 1 0 0 "mm" 4 10 0.186400000000001 1.10688836104513 "0.3" -10 -0.186400000000001 0.0232398364882377 "04mm01_3_1_24" 0.924800156790644 0.9222 285 8.93300937174592 -7.7208 "same as primary" -0.9222 1 "after
undershoot" 0.186400000000001
"4659" "04mm01" 4 1 3 26 1 12 0.5 1.51875053634257 0.79 2547.17 2547.97 2548.49 2548.3 0.33 800 1133 1317 3093985 941 610 385.5 152.5 0 6.83 NA 2 220 1 2 576 600 25 452.1213 6.5594 -0.0402 6.5825 -0.0929 3.994 -0.7964 9.5663 -0.8991 2 2 -5.4796 1 1 0 "mm" 4 12 5.5723 0.696015488383712 "1.5" 12 5.5723 2.5944703698443 "04mm01_3_1_26" 8.52628839296443 -8.514 319 3.53909219646717 3.5613 "same as primary" -8.514 1 "after
undershoot" 5.5723
"4665" "04mm01" 4 1 3 28 1 11 0.5 0.90937556752528 0.61 2551.66 2552.27 2552.79 2552.5 0.22 617 841 1134 3098472 960 584 377.75 146 0 19.05 NA 2 326 1 2 582 599 18 386.5311 4.6063 3.1407 4.6074 3.1191 10.0134 0.1823 6.1334 0.3432 2 2 3.8705 0 0 0 "mm" 4 11 3.88 3.93269815528077 "0.9" 11 -3.88 4.87868648306078 "04mm01_3_1_28" 0.672262783441119 -0.615 213 10.3560822387207 9.891 "opposite to primary" -0.615 1 "after
undershoot" -3.88
"4667" "04mm01" 4 1 3 29 -1 11 0.5 0.300000598707988 0.68 2553.71 2554.39 2554.91 2554.68 0.28 684 968 1202 3100523 963 602 103 150.5 0 175 NA 2 224 1 2 543 600 58 1108.1646 13.5241 -1.0739 13.7753 -1.0823 -9.2389 -0.4328 -3.3266 -12.684 2 2 13.0148 0 1 0 "mm" 4 11 5.9123 3.35716313667594 "0.3" -11 5.9123 14.8244704310137 "04mm01_3_1_29" 1.29113403254658 1.283 274 9.5295741776847 -8.3149 "opposite to primary" -1.283 1 "after
undershoot" -5.9123
"4672" "04mm01" 4 1 3 34 1 11 0.5 0.300000598707988 0.51 2564.85 2565.37 2565.89 2565.56 0.19 517 707 1034 3111666 954 601 376.25 150.25 0 175 NA 2 143 1 2 362 388 27 246.9278 1.8332 0.0338 2.6015 0.1207 9.0565 -0.378 10.4966 -0.2864 2 2 -1.391 1 0 0 "mm" 4 11 1.4401 0.740982763056342 "0.3" 11 1.4401 0.579168818221423 "04mm01_3_1_34" 2.58273178243502 -2.5695 179 8.33353773584906 8.0305 "same as primary" -2.5695 1 "after
undershoot" 1.4401
"4679" "04mm01" 4 1 3 38 1 11 0.5 0.300000598707988 0.52 2573.21 2573.74 2574.26 2574.06 0.32 534 855 1051 3120022 966 600 379.25 150 0 175 NA 2 162 1 2 532 560 29 191.5999 0.8009 -0.0374 2.0173 -0.1071 10.1406 0.0633 10.8957 0.0544 2 2 -0.7506 1 0 0 "mm" 4 11 0.755100000000001 0.878636257854317 "0.3" 11 0.755100000000001 0.117634391229776 "04mm01_3_1_38" 0.757194565484988 -0.6685 307 10.2947297750923 9.758 "same as primary" -0.6685 1 "after
undershoot" 0.755100000000001
"4683" "04mm01" 4 1 3 40 1 12 0.5 0.300000598707988 0.78 2577.35 2578.15 2578.66 2578.35 0.2 801 1003 1318 3124159 965 611 391.5 152.75 0 175 NA 3 106 1 2 331 338 8 72.9273 0.4029 2.7178 0.4071 2.6955 9.3048 -0.636 9.2414 -0.6021 2 2 0.058 0 0 0 "mm" 4 12 0.0633999999999997 0.023523300682695 "0.3" 12 -0.0633999999999997 2.82354358386762 "04mm01_3_1_40" 3.98524622200436 -3.9507 189 7.82925863691948 7.4162 "opposite to primary" -3.9507 1 "after
undershoot" -0.0633999999999997
"4684" "04mm01" 4 1 3 40 1 12 0.5 0.300000598707988 0.78 2577.35 2578.15 2578.66 2578.35 0.2 801 1003 1318 3124159 965 611 391.5 152.75 0 175 NA 4 31 1 2 369 393 25 250.6844 1.9999 0.01 2.5687 0.0793 9.6682 -0.6458 11.2415 -0.6286 3 3 -1.5175 0 1 0 "mm" 4 12 1.5733 0.674714812591131 "0.3" 12 1.5733 0.985119388703724 "04mm01_3_1_40" 3.98524622200436 -3.9507 189 7.82925863691948 7.4162 "opposite to primary" -3.9507 1 "after
undershoot" 1.5733
